hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,pim-v3,67108864,3,0.0625,4194304,1589844533.27,1770350591.80,0.007485,10.9479,8.8592
multiplicative,pim-v3,67108864,3,0.1250,8388608,1907857697.96,2032182613.79,0.036929,18.2827,16.1940
multiplicative,pim-v3,67108864,3,0.2500,16777216,2119875207.33,2194461270.42,0.157140,32.9523,30.8635
multiplicative,pim-v3,67108864,5,0.0625,4194304,1162727660.07,1256417253.67,0.002112,15.3306,13.2419
multiplicative,pim-v3,67108864,5,0.1250,8388608,1324170259.41,1382889548.30,0.024888,27.0474,24.9587
multiplicative,pim-v3,67108864,5,0.2500,16777216,1422957917.98,1456179979.69,0.190808,50.4811,48.3923
multiplicative,pim-v3,67108864,7,0.0625,4194304,916505696.17,973740172.76,0.001029,19.7133,17.6246
multiplicative,pim-v3,67108864,7,0.1250,8388608,1013960650.83,1048036523.20,0.025068,35.8122,33.7234
multiplicative,pim-v3,67108864,7,0.2500,16777216,1070896563.20,1089604866.96,0.266425,68.0099,65.9211
kirsch-mitz,pim-v2,1048576,3,0.0625,65536,4769723435.22,6871762608.79,0.005142,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,3,0.1250,131072,9539446870.46,13743525217.54,0.030296,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,3,0.2500,262144,19078893740.91,27487050435.16,0.146652,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,5,0.0625,65536,4769723435.22,6871762608.79,0.001373,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,5,0.1250,131072,9539446870.46,13743525217.54,0.021553,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,5,0.2500,262144,19078893740.91,27487050435.16,0.185810,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,7,0.0625,65536,4769723435.23,6871762608.79,0.000671,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,7,0.1250,131072,9539446870.46,13743525217.54,0.022964,0.0564,0.0238
kirsch-mitz,pim-v2,1048576,7,0.2500,262144,19078893740.91,27487050435.16,0.263317,0.0564,0.0238
kirsch-mitz,pim-v2,8388608,3,0.0625,524288,4769810222.17,6871942747.79,0.004908,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13743885495.58,0.030667,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.146279,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,5,0.0625,524288,4769853616.82,6871942747.79,0.001316,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,5,0.1250,1048576,9539620444.33,13743885495.58,0.021815,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,5,0.2500,2097152,19079240888.66,27487770991.17,0.184640,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,7,0.0625,524288,4769810222.17,6871942747.79,0.000717,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,7,0.1250,1048576,9539620444.33,13743885495.58,0.022876,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,7,0.2500,2097152,19079240888.66,27487770991.17,0.262410,0.4515,0.1904
kirsch-mitz,pim-v2,67108864,3,0.0625,4194304,4769815646.45,6871942747.79,0.005003,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,3,0.1250,8388608,9539620444.33,13743908013.59,0.030647,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,3,0.2500,16777216,19079240888.66,27487816027.17,0.146889,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,5,0.0625,4194304,4769815646.45,6871942747.79,0.001420,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,5,0.1250,8388608,9539631292.91,13743885495.58,0.021719,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,5,0.2500,16777216,19079240888.66,27487816027.17,0.184951,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,7,0.0625,4194304,4769810222.17,6871954006.79,0.000701,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,7,0.1250,8388608,9539631292.91,13743885495.58,0.022931,3.6122,1.5234
kirsch-mitz,pim-v2,67108864,7,0.2500,16777216,19079262585.82,27487770991.17,0.262819,3.6122,1.5234
kirsch-mitz,pim-v3,1048576,3,0.0625,65536,1241447243.80,1348865928.46,0.005142,0.2618,0.2292
kirsch-mitz,pim-v3,1048576,3,0.1250,131072,1432856705.58,1501844764.76,0.030296,0.4649,0.4322
kirsch-mitz,pim-v3,1048576,3,0.2500,262144,1552516715.92,1592138427.81,0.146652,0.8710,0.8383
kirsch-mitz,pim-v3,1048576,5,0.0625,65536,872162039.87,923835971.75,0.001373,0.3866,0.3539
kirsch-mitz,pim-v3,1048576,5,0.1250,131072,963941901.08,994687794.07,0.021553,0.7131,0.6804
kirsch-mitz,pim-v3,1048576,5,0.2500,262144,1017473859.08,1034347515.58,0.185810,1.3661,1.3335
kirsch-mitz,pim-v3,1048576,7,0.0625,65536,672198574.29,702482527.98,0.000671,0.5113,0.4787
kirsch-mitz,pim-v3,1048576,7,0.1250,131072,726265279.21,743586543.37,0.022964,0.9613,0.9287
kirsch-mitz,pim-v3,1048576,7,0.2500,262144,756699025.20,765990024.22,0.263317,1.8612,1.8286
kirsch-mitz,pim-v3,8388608,3,0.0625,524288,1248958978.51,1357713871.37,0.004908,2.0783,1.8172
kirsch-mitz,pim-v3,8388608,3,0.1250,1048576,1437823606.85,1507319709.74,0.030667,3.7028,3.4417
kirsch-mitz,pim-v3,8388608,3,0.2500,2097152,1555427655.98,1595210910.85,0.146279,6.9517,6.6906
kirsch-mitz,pim-v3,8388608,5,0.0625,524288,877979345.33,930367257.71,0.001316,3.0672,2.8061
